red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
agent.py,agenta.py,1.0,1000,0,585,89,59
agent.py,agentb.py,0.618,618,382,600,70,80
agent.py,agentc.py,1.0,1000,0,470,59,50
agenta.py,agentb.py,0.646,646,354,600,82,72
agenta.py,agentc.py,1.0,1000,0,265,53,15
agentb.py,agentc.py,0.458,458,542,600,80,75
agent.py,agenta.py,1.0,1000,0,322,61,25
agent.py,agentb.py,0.792,792,208,600,81,69
agent.py,agentc.py,0.581,581,419,600,79,74
agenta.py,agentb.py,0.738,738,262,600,80,64
agenta.py,agentc.py,0.334,334,666,600,49,60
agentb.py,agentc.py,0.417,417,583,600,67,81
agenta.py,agent.py,0.747,747,253,600,83,66
agentb.py,agent.py,0.561,561,439,600,74,66
agentc.py,agent.py,0.679,679,321,600,87,65
agentb.py,agenta.py,0.512,512,488,600,63,65
agentc.py,agenta.py,0.652,652,348,600,80,66
agentc.py,agentb.py,0.0,0,1000,316,27,56
agenta.py,agent.py,0.355,355,645,600,69,92
agentb.py,agent.py,1.0,1000,0,378,52,39
agentc.py,agent.py,0.446,446,554,600,67,86
agentb.py,agenta.py,0.68,680,320,600,73,75
agentc.py,agenta.py,0.926,926,74,600,87,76
agentc.py,agentb.py,1.0,1000,0,599,89,56
